dgp,n,p,pi,tau,replication,seed,alpha_true,iteration_warning_policy,direct_true_alpha_accepted,direct_true_alpha_rejected,direct_true_alpha_available,grid_variant,alpha_hat,bias,squared_error,covered,cr_lower,cr_upper,cr_length,cr_components,full_grid_accepted,empty_cr,number_of_connected_components,number_of_alpha_evaluations,failed_alpha_evaluations,fully_converged_evaluations,iteration_limit_warning_evaluations,usable_warning_evaluations,unusable_warning_evaluations,runtime_seconds,converged,usable,warning_type,iteration_limit_warning,finite_statistic_available,statistic_used_for_inference,failure_reason,interpolated_true_alpha_accepted,direct_vs_interpolated_mismatch,interpolation_vs_region_mismatch,coverage_loss_vs_direct,interpolation_loss_vs_direct,reconstruction_loss,alpha_true_exact_grid_point,exact_grid_point_consistency_mismatch
dgp1,100,20,1.0,0.5,9,2642763520372391068,1.0,reject,True,False,True,adaptive_21_to_0.025,0.8,-0.19999999999999996,0.03999999999999998,True,-0.3584005428326033,2.325000000000016,2.349399483712601,"[[-0.3584005428326033,1.7250000000000192],[2.0590010591200376,2.325000000000016]]",False,False,2,33,6,27,6,0,6,0.6893245005048811,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=6/33,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,10,7107628614716318302,1.0,reject,True,False,True,grid_21,0.40000000000000013,-0.5999999999999999,0.3599999999999998,True,-0.800000000000699,3.0,3.800000000000699,"[[-0.800000000000699,3.0]]",False,False,1,21,1,20,1,0,1,0.3434616010636091,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,10,7107628614716318302,1.0,reject,True,False,True,grid_41,1.1,0.10000000000000009,0.010000000000000018,True,-0.9000000000003221,3.0,3.5000000000017772,"[[-0.9000000000003221,-0.39999999999964947],[-0.2000000000003614,2.200000000000384],[2.39999999999964,3.0]]",False,False,3,41,3,38,3,0,3,0.6642974019050598,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=3/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,10,7107628614716318302,1.0,reject,True,False,True,grid_81,0.3500000000000001,-0.6499999999999999,0.4224999999999999,True,-0.9500000000001548,3.0,3.550000000001263,"[[-0.9500000000001548,-0.39999999999982466],[-0.20000000000018067,2.0000000000001874],[2.099999999999811,2.2500000000001896],[2.349999999999814,3.0]]",False,False,4,81,6,75,6,0,6,1.260855001397431,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=6/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,10,7107628614716318302,1.0,reject,True,False,True,adaptive_21_to_0.025,0.40000000000000013,-0.5999999999999999,0.3599999999999998,True,-0.9750000000000753,3.0,3.975000000000075,"[[-0.9750000000000753,3.0]]",False,False,1,24,1,23,1,0,1,0.3564009009860456,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/24,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,11,4751219783568327651,1.0,reject,True,False,True,grid_21,2.4000000000000004,1.4000000000000004,1.960000000000001,True,0.5754350827186707,3.0,2.4245649172813293,"[[0.5754350827186707,3.0]]",False,False,1,21,0,21,0,0,0,0.12832050025463104,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,11,4751219783568327651,1.0,reject,True,False,True,grid_41,2.4000000000000004,1.4000000000000004,1.960000000000001,True,0.5672430555449053,3.0,2.432756944455095,"[[0.5672430555449053,3.0]]",False,False,1,41,0,41,0,0,0,0.2855854998342693,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,11,4751219783568327651,1.0,reject,True,False,True,grid_81,2.4000000000000004,1.4000000000000004,1.960000000000001,True,0.5690608144807738,3.0,2.430939185519226,"[[0.5690608144807738,3.0]]",False,False,1,81,0,81,0,0,0,0.5583025999367237,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,11,4751219783568327651,1.0,reject,True,False,True,adaptive_21_to_0.025,2.4000000000000004,1.4000000000000004,1.960000000000001,True,0.5714329578570606,3.0,2.4285670421429395,"[[0.5714329578570606,3.0]]",False,False,1,24,0,24,0,0,0,0.13821570063009858,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,12,366956820596589539,1.0,reject,True,False,True,grid_21,0.8,-0.19999999999999996,0.03999999999999998,True,-0.4075652894524201,1.693303655652262,1.7008689451053964,"[[-0.4075652894524201,1.200000000000462],[1.5999999999997478,1.693303655652262]]",False,False,2,21,1,20,1,0,1,0.36183220194652677,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,12,366956820596589539,1.0,reject,True,False,True,grid_41,0.5,-0.5,0.25,True,-0.4125133383824988,1.7059156546282184,1.7184289930110743,"[[-0.4125133383824988,1.200000000000231],[1.599999999999874,1.7059156546282184]]",False,False,2,41,3,38,3,0,3,0.6636829017661512,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=3/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,12,366956820596589539,1.0,reject,True,False,True,grid_81,0.5,-0.5,0.25,True,-0.41091554826924953,1.7053448578934263,1.7662604061628786,"[[-0.41091554826924953,1.2500000000001399],[1.599999999999937,1.7053448578934263]]",False,False,2,81,6,75,6,0,6,1.2997276014648378,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=6/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,12,366956820596589539,1.0,reject,True,False,True,adaptive_21_to_0.025,0.8,-0.19999999999999996,0.03999999999999998,True,-0.4110933360873734,1.7050958328203618,1.7911891689078434,"[[-0.4110933360873734,1.2500000000000702],[1.574999999999962,1.7050958328203618]]",False,False,2,33,5,28,5,0,5,0.6852800017222762,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=5/33,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,13,8139879944209244350,1.0,reject,True,False,True,grid_21,1.8000000000000003,0.8000000000000003,0.6400000000000005,True,0.32304224811491755,2.821318162716052,2.4982759146011344,"[[0.32304224811491755,2.821318162716052]]",False,False,1,21,0,21,0,0,0,0.15090479841455817,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,13,8139879944209244350,1.0,reject,True,False,True,grid_41,1.7000000000000002,0.7000000000000002,0.49000000000000027,True,0.30251356497566945,2.8383850516114464,2.5358714866357768,"[[0.30251356497566945,2.8383850516114464]]",False,False,1,41,0,41,0,0,0,0.2724859989248216,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,13,8139879944209244350,1.0,reject,True,False,True,grid_81,1.75,0.75,0.5625,True,0.30188874462701437,2.8759947892167133,2.574106044589699,"[[0.30188874462701437,2.8759947892167133]]",False,False,1,81,0,81,0,0,0,0.5302779008634388,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,13,8139879944209244350,1.0,reject,True,False,True,adaptive_21_to_0.025,1.8000000000000003,0.8000000000000003,0.6400000000000005,True,0.3018244602054224,2.881493117377491,2.5796686571720686,"[[0.3018244602054224,2.881493117377491]]",False,False,1,27,0,27,0,0,0,0.18634389759972692,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,14,1722499528333297133,1.0,reject,True,False,True,grid_21,2.2,1.2000000000000002,1.4400000000000004,True,-0.34783168996422537,3.0,2.9478316899657586,"[[-0.34783168996422537,1.6000000000007668],[1.9999999999992335,3.0]]",False,False,2,21,1,20,1,0,1,0.29750960040837526,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,14,1722499528333297133,1.0,reject,True,False,True,grid_41,2.2,1.2000000000000002,1.4400000000000004,True,-0.36009086313369804,3.0,3.0987870596299674,"[[-0.36009086313369804,-0.1390270135909505],[-0.07772321008645322,1.7000000000003836],[1.8999999999996169,3.0]]",False,False,3,41,1,40,1,0,1,0.5154226017184556,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,14,1722499528333297133,1.0,reject,True,False,True,grid_81,2.1500000000000004,1.1500000000000004,1.322500000000001,True,-0.37247193771427267,3.0,2.9834035622283968,"[[-0.37247193771427267,-0.13551593076628723],[-0.04644755527930046,1.7500000000001916],[1.8499999999998085,2.300000000000188],[2.399999999999815,2.5000000000001816],[2.599999999999827,3.0]]",False,False,5,81,3,78,3,0,3,1.078046401962638,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=3/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,14,1722499528333297133,1.0,reject,True,False,True,adaptive_21_to_0.025,2.2,1.2000000000000002,1.4400000000000004,True,-0.38165315971921665,3.0,3.3316531597194086,"[[-0.38165315971921665,1.7750000000000963],[1.8249999999999043,3.0]]",False,False,2,30,1,29,1,0,1,0.5265058013610542,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/30,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,15,3381585585660208649,1.0,reject,True,False,True,grid_21,1.6,0.6000000000000001,0.3600000000000001,True,0.008330021416338308,3.0,2.9916699785836616,"[[0.008330021416338308,3.0]]",False,False,1,21,0,21,0,0,0,0.15657769981771708,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,15,3381585585660208649,1.0,reject,True,False,True,grid_41,1.6,0.6000000000000001,0.3600000000000001,True,0.008899787902299993,3.0,2.9911002120977,"[[0.008899787902299993,3.0]]",False,False,1,41,0,41,0,0,0,0.3044484006240964,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,15,3381585585660208649,1.0,reject,True,False,True,grid_81,1.6500000000000004,0.6500000000000004,0.4225000000000005,True,0.007921170483593348,3.0,2.892078829516725,"[[0.007921170483593348,2.100000000000164],[2.1999999999998456,3.0]]",False,False,2,81,1,80,1,0,1,0.6895667994394898,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,15,3381585585660208649,1.0,reject,True,False,True,adaptive_21_to_0.025,1.6,0.6000000000000001,0.3600000000000001,True,0.00762746478863264,3.0,2.9923725352113673,"[[0.00762746478863264,3.0]]",False,False,1,24,0,24,0,0,0,0.18697459995746613,True,True,,False,False,False,,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,16,8142193543133063343,1.0,reject,True,False,True,grid_21,0.0,-1.0,1.0,True,-1.0,2.875509692153659,3.4755096921550637,"[[-1.0,1.0000000000007645],[1.39999999999936,2.875509692153659]]",False,False,2,21,1,20,1,0,1,0.3015127996914089,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,16,8142193543133063343,1.0,reject,True,False,True,grid_41,0.10000000000000009,-0.8999999999999999,0.8099999999999998,True,-1.0,2.8615047537246547,3.5615047537253677,"[[-1.0,1.0000000000003821],[1.299999999999669,2.8615047537246547]]",False,False,2,41,2,39,2,0,2,0.592956499196589,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,16,8142193543133063343,1.0,reject,True,False,True,grid_81,0.10000000000000009,-0.8999999999999999,0.8099999999999998,True,-1.0,2.8708558705412015,3.320855870542462,"[[-1.0,-0.39999999999982816],[-0.300000000000178,-0.09999999999981021],[-1.919853165333052e-13,1.0500000000001908],[1.2999999999998346,2.100000000000088],[2.1999999999999154,2.8708558705412015]]",False,False,5,81,7,74,7,0,7,1.3076397981494665,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=7/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,16,8142193543133063343,1.0,reject,True,False,True,adaptive_21_to_0.025,0.0,-1.0,1.0,True,-1.0,2.8672839831046777,3.6422839831048552,"[[-1.0,1.0750000000000954],[1.2999999999999174,2.8672839831046777]]",False,False,2,30,4,26,4,0,4,0.6185852005146444,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=4/30,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,grid_21,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.8725664332594205,1.8725664332594205,"[[-1.0,0.8725664332594205]]",False,False,1,21,1,20,1,0,1,0.21806920133531094,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,grid_41,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.910346271451542,1.910346271451542,"[[-1.0,0.910346271451542]]",False,False,1,41,1,40,1,0,1,0.3687290013767779,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/41,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,grid_81,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.9101435265653197,1.9101435265653197,"[[-1.0,0.9101435265653197]]",False,False,1,81,1,80,1,0,1,0.6505351015366614,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/81,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,17,4575949103342800831,1.0,reject,False,True,True,adaptive_21_to_0.025,-0.3999999999999999,-1.4,1.9599999999999997,False,-1.0,0.9073121452406594,1.9073121452406594,"[[-1.0,0.9073121452406594]]",False,False,1,24,1,23,1,0,1,0.23190140165388584,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/24,False,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,grid_21,0.8,-0.19999999999999996,0.03999999999999998,True,-4.550249066426204e-13,2.2041832186699724,2.2041832186704275,"[[-4.550249066426204e-13,2.2041832186699724]]",False,False,1,21,1,20,1,0,1,0.24422490037977695,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,grid_41,0.8,-0.19999999999999996,0.03999999999999998,True,-0.10000000000015122,2.2031234059081033,2.1031234059087693,"[[-0.10000000000015122,2.2750852548797044e-13],[0.1999999999997128,2.2031234059081033]]",False,False,2,41,2,39,2,0,2,0.5012648021802306,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,grid_81,0.8500000000000001,-0.1499999999999999,0.022499999999999975,True,-0.28205368600812586,2.2018317235192946,2.283885409527755,"[[-0.28205368600812586,-0.24999999999997324],[-0.15000000000005786,0.05000000000011478],[0.14999999999986496,2.2018317235192946]]",False,False,3,81,2,79,2,0,2,0.8512183013372123,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=2/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,18,5098489351220170713,1.0,reject,True,False,True,adaptive_21_to_0.025,0.8,-0.19999999999999996,0.03999999999999998,True,-0.1750000000000243,2.2016236962056013,2.3766236962056255,"[[-0.1750000000000243,2.2016236962056013]]",False,False,1,27,1,26,1,0,1,0.2917643999680877,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/27,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,19,7583163039971472874,1.0,reject,True,False,True,grid_21,0.20000000000000018,-0.7999999999999998,0.6399999999999997,True,-1.0,2.083205032981089,3.083205032981089,"[[-1.0,2.083205032981089]]",False,False,1,21,1,20,1,0,1,0.26819790061563253,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/21,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,19,7583163039971472874,1.0,reject,True,False,True,grid_41,0.20000000000000018,-0.7999999999999998,0.6399999999999997,True,-1.0,2.0884550036184364,3.0884550036184364,"[[-1.0,2.0884550036184364]]",False,False,1,41,1,40,1,0,1,0.48162810131907463,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/41,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,19,7583163039971472874,1.0,reject,True,False,True,grid_81,0.25,-0.75,0.5625,True,-1.0,2.0884049951651344,3.0884049951651344,"[[-1.0,2.0884049951651344]]",False,False,1,81,3,78,3,0,3,1.0733347022905946,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=3/81,True,False,False,False,False,False,True,False
dgp1,100,20,1.0,0.5,19,7583163039971472874,1.0,reject,True,False,True,adaptive_21_to_0.025,0.20000000000000018,-0.7999999999999998,0.6399999999999997,True,-1.0,2.087994813117791,3.087994813117791,"[[-1.0,2.087994813117791]]",False,False,1,24,1,23,1,0,1,0.299829700961709,True,True,iteration_limit,True,False,False,ok; failed_alpha_points=1/24,True,False,False,False,False,False,True,False
