estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp1,1000,500,0.5,0.75,500,500,0,1,-0.0812897502,-0.0744897502,0.646093877,0.8394770893,0.8363688095,0.918,0.01226996333,0.8939508719,0.9420491281,2.928560026,2.941161102,0.194,,,0,0.05,,,,,,,,,
DML-IVQR,dgp1,500,200,1,0.25,500,500,0,1,-0.0447102498,-0.1255102498,0.498902041,0.6225996839,0.6216141636,0.926,0.01170675019,0.9030547696,0.9489452304,2.221789815,2.173224483,0.004,,,0,0.03,,,,,,,,,
DML-IVQR,dgp1,500,200,1,0.5,500,500,0,1,-0.0352,0,0.4184,0.5283937925,0.5277480421,0.928,0.0115599308,0.9053425356,0.9506574644,1.985402721,1.90034614,0.002,,,0,0,,,,,,,,,
DML-IVQR,dgp1,1000,500,1,0.25,500,500,0,1,-0.0511102498,0.0744897502,0.455889795,0.5816845345,0.5800150644,0.928,0.0115599308,0.9053425356,0.9506574644,2.025897235,2.016068917,0,,,0,0.032,,,,,,,,,
DML-IVQR,dgp1,500,500,0.25,0.75,500,500,0,1,-0.2004897502,-0.0744897502,1.011991836,1.218884794,1.203486918,0.93,0.01141052146,0.9076353779,0.9523646221,3.608657425,4,0.654,,,0,0.17,,,,,,,,,
DML-IVQR,dgp1,500,500,0.5,0.5,500,499,1,1,-0.0644,0,0.7652,0.9279224105,0.926612033,0.9318637275,0.01128015628,0.9097546211,0.9539728338,3.088925135,3.186083219,0.16,,,0.002,0.028,,,,,,,,,
DML-IVQR,dgp2,500,200,0.5,0.75,500,500,0,1,-0.1928897502,-0.0744897502,0.815073467,1.032040646,1.014870121,0.932,0.01125841907,0.9099334986,0.9540665014,3.230249235,3.408493854,0.32,,,0,0.094,,,,,,,,,
DML-IVQR,dgp2,500,200,1,0.75,500,500,0,1,-0.0508897502,-0.0744897502,0.504461221,0.6339974816,0.6325846716,0.932,0.01125841907,0.9099334986,0.9540665014,2.316191134,2.215851054,0.018,,,0,0.02,,,,,,,,,
DML-IVQR,dgp2,1000,200,0.25,0.5,500,500,0,1,-0.03,0,0.7092,0.9007996448,0.9012016027,0.932,0.01125841907,0.9099334986,0.9540665014,3.128542673,3.208132599,0.17,,,0,0.052,,,,,,,,,
DML-IVQR,dgp3,500,200,0.5,0.5,500,500,0,1,-0.0332,0,0.5004,0.6510913914,0.6508956062,0.932,0.01125841907,0.9099334986,0.9540665014,2.529319704,2.453406591,0.026,,,0,0.006,,,,,,,,,
Oracle IVQR,dgp2,500,200,0.25,0.75,500,500,0,1,-0.2492897502,-0.0744897502,0.912571426,1.141853905,1.115425169,0.91,0.0127984374,0.8849150627,0.9350849373,3.369210331,3.779688824,0.416,0,0.226,0,0.118,0.888,0,0,0,,,,,
Oracle IVQR,dgp3,500,500,1,0.75,500,500,0,1,-0.01608920879,0.03711079121,0.2507173065,0.3223486042,0.3222692585,0.912,0.01266933305,0.8871681072,0.9368318928,1.149515418,1.107323751,0,0,0.022,0,0,0.674,0,0,0,,,,,
Oracle IVQR,dgp2,500,500,0.25,0.75,500,500,0,1,-0.2460897502,-0.0744897502,0.948069385,1.173232119,1.14828156,0.914,0.01253826144,0.8894250076,0.9385749924,3.309299227,3.701151406,0.354,0,0.256,0,0.118,0.832,0,0,0,,,,,
Oracle IVQR,dgp1,500,200,0.5,0.75,500,500,0,1,-0.0592897502,-0.0744897502,0.519073467,0.6575745087,0.6555520246,0.916,0.01240516022,0.891685886,0.940314114,2.300178147,2.237339517,0.014,0,0.21,0,0.016,0.72,0,0,0,,,,,
Oracle IVQR,dgp1,1000,200,1,0.75,500,500,0,1,0.0175102498,0.1255102498,0.211608164,0.2589258752,0.2585918395,0.916,0.01240516022,0.891685886,0.940314114,0.944955397,0.9355333591,0,0,0.006,0,0,0.646,0,0,0,,,,,
Oracle IVQR,dgp2,500,200,1,0.25,500,500,0,1,-0.005110249804,0.0744897502,0.341967344,0.4223860256,0.422778101,0.916,0.01240516022,0.891685886,0.940314114,1.488357381,1.477304791,0,0,0.044,0,0.002,0.838,0,0,0,,,,,
Oracle IVQR,dgp2,500,500,1,0.5,500,500,0,1,-0.0072,0,0.2984,0.3847076812,0.3850255177,0.916,0.01240516022,0.891685886,0.940314114,1.388463105,1.377943957,0,0,0.022,0,0,0.852,0,0,0,,,,,
Oracle IVQR,dgp2,1000,500,0.25,0.75,500,500,0,1,-0.1644897502,-0.0744897502,0.736853057,0.936545182,0.922910357,0.916,0.01240516022,0.891685886,0.940314114,3.024326822,3.151612639,0.19,0,0.236,0,0.056,0.87,0,0,0,,,,,
Oracle IVQR,dgp3,1000,200,0.25,0.75,500,500,0,1,-0.05848920879,0.03711079121,0.5802266475,0.7513997788,0.7498701558,0.918,0.01226996333,0.8939508719,0.9420491281,2.572296852,2.575604289,0.044,0,0.292,0,0.024,0.61,0,0,0,,,,,
Oracle IVQR,dgp1,500,500,0.25,0.75,500,500,0,1,-0.1744897502,0.0255102498,0.9,1.114758572,1.102120383,0.92,0.01213260071,0.8962201026,0.9437798974,3.255733367,3.590762598,0.338,0,0.264,0,0.134,0.66,0,0,0,,,,,
Post-selection IVQR,dgp2,500,500,1,0.75,500,500,0,1,-0.2556897502,-0.2744897502,0.4137714081,0.5162788087,0.4489651427,0.838,0.01647762119,0.8057038625,0.8702961375,1.478002684,1.435212204,0,0,0.06,0,0,0.968,0,0,0,26.592,24,9,71,1
Post-selection IVQR,dgp3,500,500,1,0.75,500,500,0,1,-0.1568892088,-0.1628892088,0.3082356259,0.3909197153,0.3584144554,0.838,0.01647762119,0.8057038625,0.8702961375,1.170952482,1.135086565,0,0,0.03,0,0,0.878,0,0,0,15.368,13,3,86,1
Post-selection IVQR,dgp2,500,200,1,0.75,500,500,0,1,-0.1456897502,-0.0744897502,0.3569346791,0.4518363236,0.4281321692,0.858,0.0156099968,0.8274044063,0.8885955937,1.452079181,1.407224463,0,0,0.04,0,0,0.988,0,0,0,25.332,24,9,64,1
Post-selection IVQR,dgp2,500,500,0.25,0.75,500,500,0,1,-0.4716897502,-0.4744897502,1.054889786,1.279251101,1.190304924,0.868,0.01513776734,0.838329976,0.897670024,3.243698461,3.616010715,0.35,0,0.234,0,0.12,0.976,0,0,0,27.964,26,10,73,1
Post-selection IVQR,dgp2,500,500,0.5,0.75,500,500,0,1,-0.3524897502,-0.2744897502,0.6381020231,0.8402886552,0.7635456791,0.87,0.01503994681,0.8405217043,0.8994782957,2.50215833,2.457176249,0.02,0,0.212,0,0.03,0.984,0,0,0,28.258,26,9,101,1
Post-selection IVQR,dgp2,500,200,0.5,0.75,500,500,0,1,-0.2704897502,-0.2744897502,0.633093868,0.8246385299,0.7797949476,0.88,0.0145327217,0.8515158655,0.9084841345,2.513477694,2.454218198,0.036,0,0.216,0,0.032,0.982,0,0,0,25.562,24,10,59,1
Post-selection IVQR,dgp2,1000,500,0.5,0.75,500,500,0,1,-0.1544897502,-0.0744897502,0.4407632531,0.5695147785,0.5487095446,0.88,0.0145327217,0.8515158655,0.9084841345,1.835657183,1.786596044,0,0,0.12,0,0.006,0.984,0,0,0,27.602,26,11,79,1
Post-selection IVQR,dgp2,1000,500,1,0.75,500,500,0,1,-0.1068897502,-0.0744897502,0.2735550891,0.3385493446,0.321554092,0.88,0.0145327217,0.8515158655,0.9084841345,1.008421501,0.98291405,0,0,0.008,0,0,0.988,0,0,0,27.76,26,11,79,1
Post-selection IVQR,dgp1,1000,500,1,0.75,500,500,0,1,-0.0860897502,-0.0744897502,0.2331305971,0.290373699,0.2775960358,0.882,0.01442747379,0.8537221514,0.9102778486,0.9398587955,0.9214243241,0,0,0.002,0,0,0.826,0,0,0,14.942,13,4,58,1
Post-selection IVQR,dgp2,1000,200,0.1,0.75,500,500,0,1,-0.4024897502,-0.2744897502,1.091526524,1.327016955,1.265772634,0.884,0.01432089383,0.8559310481,0.9120689519,3.560094838,4,0.59,0.002,0.244,0,0.17,0.988,0,0,0,26.306,25,13,64,1
