dgp,n,p,pi,tau,estimator,estimator_label,replications,valid_estimates,expected_replications,observed_replications,completion_rate,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,avg_cr_length_valid_only,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds
dgp1,500,200,0.1,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.9,2.4565,,0.0,10.0,0.3608
dgp1,500,200,0.1,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.4,3.0462,,0.0,17.6,3.6212
dgp1,500,200,0.1,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.4,3.0837,,0.0,,10.1889
dgp1,500,200,0.1,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.7,2.7286,,0.0,10.0,0.4212
dgp1,500,200,0.1,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.3,3.2646,,0.0,23.3,4.416
dgp1,500,200,0.1,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.3,3.3826,,0.0,,11.6844
dgp1,500,200,0.1,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.5,2.6807,,0.0,10.0,0.3816
dgp1,500,200,0.1,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.4,3.5463,,0.0,25.2,4.129
dgp1,500,200,0.1,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.3,3.5251,,0.0,,10.189
dgp1,500,200,0.25,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.2,1.4442,,0.0,10.0,0.3826
dgp1,500,200,0.25,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.5,2.2689,,0.0,23.2,3.7434
dgp1,500,200,0.25,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.3,2.6144,,0.0,,10.07
dgp1,500,200,0.25,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.9,2.3507,,0.0,10.0,0.6538
dgp1,500,200,0.25,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,2.4146,,0.0,21.7,3.8726
dgp1,500,200,0.25,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.2,2.351,,0.0,,11.5906
dgp1,500,200,0.25,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,2.2206,,0.0,10.0,0.6342
dgp1,500,200,0.25,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.1,2.4113,,0.0,22.2,4.2819
dgp1,500,200,0.25,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.4,2.9994,,0.0,,10.1075
dgp1,500,200,0.5,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.1,0.6454,,0.0,10.0,0.3504
dgp1,500,200,0.5,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.1,1.1406,,0.0,20.9,4.1393
dgp1,500,200,0.5,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,1.7434,,0.0,,10.7087
dgp1,500,200,0.5,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.2,0.8404,,0.0,10.0,0.573
dgp1,500,200,0.5,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.6823,,0.0,22.3,5.2332
dgp1,500,200,0.5,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.1,1.0524,,0.0,,11.8361
dgp1,500,200,0.5,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.8676,,0.0,10.0,0.4567
dgp1,500,200,0.5,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,1.4158,,0.0,26.0,4.5703
dgp1,500,200,0.5,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.1,1.7801,,0.0,,10.43
dgp1,500,200,1.0,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3791,,0.0,10.0,0.2591
dgp1,500,200,1.0,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3991,,0.0,19.0,3.8155
dgp1,500,200,1.0,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.5944,,0.0,,8.6775
dgp1,500,200,1.0,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.2757,,0.0,10.0,0.438
dgp1,500,200,1.0,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.331,,0.0,20.6,3.67
dgp1,500,200,1.0,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.4798,,0.0,,10.8667
dgp1,500,200,1.0,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3694,,0.0,10.0,0.5028
dgp1,500,200,1.0,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.5555,,0.0,22.5,4.4076
dgp1,500,200,1.0,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.7647,,0.0,,9.8711
dgp1,500,500,0.1,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.9,2.6698,,0.0,10.0,0.389
dgp1,500,500,0.1,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.1,3.6298,,0.0,21.2,10.134
dgp1,500,500,0.1,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.3,3.6206,,0.0,,34.9353
dgp1,500,500,0.1,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.8,2.3557,,0.0,10.0,0.7178
dgp1,500,500,0.1,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.4,3.0715,,0.0,24.0,11.7671
dgp1,500,500,0.1,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.6,3.0146,,0.0,,44.613
dgp1,500,500,0.1,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.5,2.4687,,0.0,10.0,0.577
dgp1,500,500,0.1,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.3,3.279,,0.0,18.5,10.7229
dgp1,500,500,0.1,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.2,3.6674,,0.0,,35.7858
dgp1,500,500,0.25,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.7,2.0871,,0.0,10.0,0.3723
dgp1,500,500,0.25,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.2,2.2678,,0.0,20.8,9.4727
dgp1,500,500,0.25,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.3,2.2948,,0.0,,34.3639
dgp1,500,500,0.25,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.4,1.2235,,0.0,10.0,0.4291
dgp1,500,500,0.25,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.2,1.6571,,0.0,29.0,13.2859
dgp1,500,500,0.25,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.2,2.3453,,0.0,,42.667
dgp1,500,500,0.25,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.4,2.2521,,0.0,10.0,0.4191
dgp1,500,500,0.25,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.1,2.3346,,0.0,23.3,13.451
dgp1,500,500,0.25,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.3,3.0119,,0.0,,37.1627
dgp1,500,500,0.5,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.2,0.6422,,0.0,10.0,0.5158
dgp1,500,500,0.5,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.8369,,0.0,18.9,11.6894
dgp1,500,500,0.5,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.1,1.7864,,0.0,,34.4525
dgp1,500,500,0.5,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.1,0.7744,,0.0,10.0,0.86
dgp1,500,500,0.5,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.6835,,0.0,26.7,11.0694
dgp1,500,500,0.5,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.932,,0.0,,43.8745
dgp1,500,500,0.5,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.1,0.7798,,0.0,10.0,0.633
dgp1,500,500,0.5,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.1,1.8006,,0.0,26.0,10.5564
dgp1,500,500,0.5,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.1,1.7305,,0.0,,36.1454
dgp1,500,500,1.0,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.1,0.3791,,0.0,10.0,0.4823
dgp1,500,500,1.0,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.2589,,0.0,23.3,11.5141
dgp1,500,500,1.0,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.5999,,0.0,,35.0085
dgp1,500,500,1.0,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3536,,0.0,10.0,0.4621
dgp1,500,500,1.0,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3137,,0.0,25.6,14.0769
dgp1,500,500,1.0,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.6156,,0.0,,44.7037
dgp1,500,500,1.0,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3588,,0.0,10.0,0.6185
dgp1,500,500,1.0,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.6037,,0.0,18.8,11.2379
dgp1,500,500,1.0,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.9654,,0.0,,35.1611
dgp1,1000,200,0.5,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3149,,0.0,10.0,0.5779
dgp1,1000,200,0.5,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.1,0.2766,,0.0,19.9,8.5076
dgp1,1000,200,0.5,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.8055,,0.0,,23.128
dgp1,1000,200,1.0,0.25,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.1379,,0.0,10.0,0.4176
dgp1,1000,200,1.0,0.25,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.2009,,0.0,22.6,9.1102
dgp1,1000,200,1.0,0.25,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3884,,0.0,,23.3661
dgp1,1000,200,1.0,0.5,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.2135,,0.0,10.0,0.6864
dgp1,1000,200,1.0,0.5,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.2315,,0.0,20.9,8.573
dgp1,1000,200,1.0,0.5,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.2618,,0.0,,40.8257
dgp1,1000,200,1.0,0.75,oracle,Oracle IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.1758,,0.0,10.0,0.5062
dgp1,1000,200,1.0,0.75,post_selection_ivqr,Post-selection IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.1679,,0.0,21.6,9.4811
dgp1,1000,200,1.0,0.75,dml_ivqr,DML-IVQR,10,10,,10,,0.0,0.0,0.0,0.0,0.3216,,0.0,,22.507
