phase,path,check,expected,actual,status,notes
raw,results/raw/oracle_ivqr.csv,sha256,44ff5b1030e1a80386e62b840be9f842c2229f43e630000cc9e52567ac84be36,44ff5b1030e1a80386e62b840be9f842c2229f43e630000cc9e52567ac84be36,pass,canonical immutable artifact contract
raw,results/raw/oracle_ivqr.csv,bytes,22624466,22624466,pass,canonical immutable artifact contract
raw,results/raw/oracle_ivqr.csv,rows,72000,72000,pass,canonical immutable artifact contract
raw,results/raw/oracle_ivqr.csv,columns,43,43,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,sha256,7c9b914a8d5cf7cc7c3b9bda3458641de4f62bdfcf1644793871555275bfedd8,7c9b914a8d5cf7cc7c3b9bda3458641de4f62bdfcf1644793871555275bfedd8,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,bytes,30818201,30818201,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,rows,72000,72000,pass,canonical immutable artifact contract
raw,results/raw/post_selection_ivqr.csv,columns,52,52,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,sha256,27d3c514e7a608083647c9485e1ba4d73267cdf80753e3bae8c22a4ee4c5f803,27d3c514e7a608083647c9485e1ba4d73267cdf80753e3bae8c22a4ee4c5f803,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,bytes,9160449,9160449,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,rows,72000,72000,pass,canonical immutable artifact contract
raw,results/raw/dml_ivqr.csv,columns,15,15,pass,canonical immutable artifact contract
raw,results/raw/manifest.json,sha256,bb9c0dfddc36e1d44be4749f7d1093313ce12040eab4754d5fa41ad42960b4c5,bb9c0dfddc36e1d44be4749f7d1093313ce12040eab4754d5fa41ad42960b4c5,pass,canonical immutable artifact contract
raw,results/raw/manifest.json,bytes,7340,7340,pass,canonical immutable artifact contract
phase1,results/validation/r500_audit/audit_report.md,sha256,9bfa785904bc03b5b9792c986270a34abec6766de27d946c5daff87fb9e17ddc,9bfa785904bc03b5b9792c986270a34abec6766de27d946c5daff87fb9e17ddc,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/comparison_checks.csv,sha256,2335b8833c413a792033a305cc5fae07caecf33fbd3510f926c120c574fe38dd,2335b8833c413a792033a305cc5fae07caecf33fbd3510f926c120c574fe38dd,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/diagnostic_summary.csv,sha256,4a162ffa868645faa273e8b23b852eec8b712aaf4fb650563cf917c3df2f64c7,4a162ffa868645faa273e8b23b852eec8b712aaf4fb650563cf917c3df2f64c7,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/estimator_summary.csv,sha256,cfe33284157974b792f7d55fb1ca63a2c527bcb8923b84371653f9641df5be07,cfe33284157974b792f7d55fb1ca63a2c527bcb8923b84371653f9641df5be07,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/monotonicity_checks.csv,sha256,a6135fcfac6b2673e092501ff18c53a1c0c360df2f3ad52eb2011230784edb18,a6135fcfac6b2673e092501ff18c53a1c0c360df2f3ad52eb2011230784edb18,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/scenario_summary.csv,sha256,fda31b8f55a395ab4e757bbcc527eb05161d08d64a413eb5d361fef95fd9f770,fda31b8f55a395ab4e757bbcc527eb05161d08d64a413eb5d361fef95fd9f770,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/structural_validation.json,sha256,080bfb57216f7ad9e83848e5efac7fb6208ee0e37b55396cc2323edb03e2f26a,080bfb57216f7ad9e83848e5efac7fb6208ee0e37b55396cc2323edb03e2f26a,pass,baseline authority: git HEAD / Phase 1
phase1,results/validation/r500_audit/worst_scenarios.csv,sha256,69084c577bb5f3a0d4f7513e73116182331134dd93ab42d986a949a02d12e016,69084c577bb5f3a0d4f7513e73116182331134dd93ab42d986a949a02d12e016,pass,baseline authority: git HEAD / Phase 1
phase2,results/validation/r500_phase2/classification_rules.json,sha256,9b8c306f2b9ccb82cecb632f9fc4494b3368fbc486c428e1f9e502019f19bcf6,9b8c306f2b9ccb82cecb632f9fc4494b3368fbc486c428e1f9e502019f19bcf6,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/coverage_discordance.csv,sha256,3a7b4e661ee9c1b8b8f989802649c67bc4fa0647f602b9ccb71b835a2ce7dd9d,3a7b4e661ee9c1b8b8f989802649c67bc4fa0647f602b9ccb71b835a2ce7dd9d,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/coverage_uncertainty.csv,sha256,7a7316d2d88fd1b56b7a6bee1aea862f43dc9265c116af4262d755bab4334b57,7a7316d2d88fd1b56b7a6bee1aea862f43dc9265c116af4262d755bab4334b57,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/estimator_classification.csv,sha256,72962dd8948a9073e2ddbbc1cddd3c884b5c27f5f312e9d42323b26b666d139b,72962dd8948a9073e2ddbbc1cddd3c884b5c27f5f312e9d42323b26b666d139b,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/exception_rows.csv,sha256,e197a3cee9b76689772ef0f932936e56033db45e7fe716d28f4428a67185f030,e197a3cee9b76689772ef0f932936e56033db45e7fe716d28f4428a67185f030,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/exception_scenario_summary.csv,sha256,5f142e906ca4ddf13c7a9b7d6281dcded00b356a104337bbf6ef7771f3cbdc1e,5f142e906ca4ddf13c7a9b7d6281dcded00b356a104337bbf6ef7771f3cbdc1e,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/cr_length_by_instrument_strength.pdf,sha256,0d15a763754df5eb618f411059aa50d41e502cef83b0d104b64664015a41067c,0d15a763754df5eb618f411059aa50d41e502cef83b0d104b64664015a41067c,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/cr_length_by_instrument_strength.png,sha256,72905e3843f320c6b3d5277be4a52d537f17f34749f598c4d0f9326595fe5de7,72905e3843f320c6b3d5277be4a52d537f17f34749f598c4d0f9326595fe5de7,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/exception_frequency_by_design_dimension.pdf,sha256,5fec3680f275e7c9142b005ba2e1b725d11a246b4836cf59a38122cb19a251da,5fec3680f275e7c9142b005ba2e1b725d11a246b4836cf59a38122cb19a251da,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/exception_frequency_by_design_dimension.png,sha256,beb64ba5295aabdba466180af4b2ce03f0bb5e6e85f4d0bc7252303ed232197d,beb64ba5295aabdba466180af4b2ce03f0bb5e6e85f4d0bc7252303ed232197d,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/paired_coverage_differences.pdf,sha256,54b0e837ba1e0663f0408193305dacf12c83f49bed32795c066de50b0f6e7a93,54b0e837ba1e0663f0408193305dacf12c83f49bed32795c066de50b0f6e7a93,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/paired_coverage_differences.png,sha256,3c598241aa21edd52b38ae74c8db58fe9e7f1addaecc05eb15b358d328d9e1c2,3c598241aa21edd52b38ae74c8db58fe9e7f1addaecc05eb15b358d328d9e1c2,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/rmse_by_instrument_strength.pdf,sha256,29a42f68874651062090462b749123577b256b43a8469c1195e63ede8d88a5ad,29a42f68874651062090462b749123577b256b43a8469c1195e63ede8d88a5ad,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/rmse_by_instrument_strength.png,sha256,7774771a7b8d18277a312069a3a5e62ad139f1fd64d14e4c1fd57a7340c481bb,7774771a7b8d18277a312069a3a5e62ad139f1fd64d14e4c1fd57a7340c481bb,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/scenario_coverage_with_wilson_intervals.pdf,sha256,37ed895398d864d81e8422ddac59ba463a31a506cbe3dfc75427b956530f59b3,37ed895398d864d81e8422ddac59ba463a31a506cbe3dfc75427b956530f59b3,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/scenario_coverage_with_wilson_intervals.png,sha256,b61c63ff2038b5436f27ff5a72c26f5d22bd7299e93c317de81769fbd6900210,b61c63ff2038b5436f27ff5a72c26f5d22bd7299e93c317de81769fbd6900210,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/warning_frequency_by_category.pdf,sha256,2166aacaa82bd6e50b425dd3568e453d6ecad650bc8f0023124e3912f64d1a8c,2166aacaa82bd6e50b425dd3568e453d6ecad650bc8f0023124e3912f64d1a8c,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/figures/warning_frequency_by_category.png,sha256,f02c74ce3df453ad216b3ebc17632f1d72bb3e6a38a1927a6bbd6d0b5cfa7da9,f02c74ce3df453ad216b3ebc17632f1d72bb3e6a38a1927a6bbd6d0b5cfa7da9,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/paired_estimator_summary.csv,sha256,ffc42d05fefb003b1ba5452ab2c97944d6f2a994594c8c5221cdceb11c54d601,ffc42d05fefb003b1ba5452ab2c97944d6f2a994594c8c5221cdceb11c54d601,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/paired_scenario_summary.csv,sha256,991cf890228aa0e393cda4920ca7a73a7ecfecd95ba8fdb8e0d9552ddf74a6c8,991cf890228aa0e393cda4920ca7a73a7ecfecd95ba8fdb8e0d9552ddf74a6c8,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/phase2_report.md,sha256,ddd4a77f38dc6cd84003f51208155e45b6d4cd2a7a4b2b7bb5445b90c483ca40,ddd4a77f38dc6cd84003f51208155e45b6d4cd2a7a4b2b7bb5445b90c483ca40,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/coverage_uncertainty_and_classification.csv,sha256,9861a4ca2bcb3a5177a62f23b5e85922b6c1dab9afe85405cb1e110600f19fbf,9861a4ca2bcb3a5177a62f23b5e85922b6c1dab9afe85405cb1e110600f19fbf,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/coverage_uncertainty_and_classification.tex,sha256,1636dbae7160874a7630517422c6e3570c8eee0c14fac8594f42019605227cc0,1636dbae7160874a7630517422c6e3570c8eee0c14fac8594f42019605227cc0,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/empty_unresolved_summary.csv,sha256,5ec963c690371f5ebdca4a779cbcc0dc42e51a9fdcc5751a7973f4ea7023046e,5ec963c690371f5ebdca4a779cbcc0dc42e51a9fdcc5751a7973f4ea7023046e,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/empty_unresolved_summary.tex,sha256,f0fa0860cbfa595d52955598a9d4a786f38b6f32d19540909f4e82d67e4bd48e,f0fa0860cbfa595d52955598a9d4a786f38b6f32d19540909f4e82d67e4bd48e,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/overall_estimator_comparison.csv,sha256,1967896aa2613eaf4db1624a65020425e6d076ea015275d49642305b39cfb7ff,1967896aa2613eaf4db1624a65020425e6d076ea015275d49642305b39cfb7ff,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/overall_estimator_comparison.tex,sha256,88a1afeae6b91edc0927aa0b27816140b258a356199074ad62a26fc1d0db9ab4,88a1afeae6b91edc0927aa0b27816140b258a356199074ad62a26fc1d0db9ab4,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/paired_estimator_comparison.csv,sha256,ffc42d05fefb003b1ba5452ab2c97944d6f2a994594c8c5221cdceb11c54d601,ffc42d05fefb003b1ba5452ab2c97944d6f2a994594c8c5221cdceb11c54d601,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/paired_estimator_comparison.tex,sha256,a57559236439c0e60e00df0671694b62475856d0c5fe0a43d994da38178f720f,a57559236439c0e60e00df0671694b62475856d0c5fe0a43d994da38178f720f,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/warning_decomposition.csv,sha256,28c8b6919a33ec6723d8851f426b7b99d1841384fdaa7b0910bb9fcc61975ad8,28c8b6919a33ec6723d8851f426b7b99d1841384fdaa7b0910bb9fcc61975ad8,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/warning_decomposition.tex,sha256,4c3987faf65a2580fca6d2bbb60d0662eedacf9a52eae0627b82a558aea57b55,4c3987faf65a2580fca6d2bbb60d0662eedacf9a52eae0627b82a558aea57b55,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,sha256,76561edadadaeb5fcd732d0edafd789743bec1b84075da4ac6c3129d0f61fded,76561edadadaeb5fcd732d0edafd789743bec1b84075da4ac6c3129d0f61fded,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/tables/worst_coverage_scenarios.tex,sha256,157710ab002c6647aefff1b245074f65ecf503e57a7f33e42c7d8f66fcfb46d6,157710ab002c6647aefff1b245074f65ecf503e57a7f33e42c7d8f66fcfb46d6,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/warning_scenario_summary.csv,sha256,0acd9a0cfc494ad5061148e739f74dc135a9dd8f95432b52d019527ecbb7e6aa,0acd9a0cfc494ad5061148e739f74dc135a9dd8f95432b52d019527ecbb7e6aa,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/warning_summary.csv,sha256,28c8b6919a33ec6723d8851f426b7b99d1841384fdaa7b0910bb9fcc61975ad8,28c8b6919a33ec6723d8851f426b7b99d1841384fdaa7b0910bb9fcc61975ad8,pass,baseline authority: git HEAD / Phase 2
phase2,results/validation/r500_phase2/warning_taxonomy.json,sha256,ce0edbebf28223c6f1a598a45be56949bd825f4d3a11f7c5581a7510dd0e759b,ce0edbebf28223c6f1a598a45be56949bd825f4d3a11f7c5581a7510dd0e759b,pass,baseline authority: git HEAD / Phase 2
phase3,results/thesis/r500/tables/table_01_simulation_design.csv,manifest_sha256,e5190eef3470201c850750b671d6e2c4745179a18f6e71daa9f6555400239f52,e5190eef3470201c850750b671d6e2c4745179a18f6e71daa9f6555400239f52,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_01_simulation_design.tex,manifest_sha256,37264c6e3e541f79076cb8121621333d0e80465db8f4cbe20e43f04eeefe3b47,37264c6e3e541f79076cb8121621333d0e80465db8f4cbe20e43f04eeefe3b47,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_02_overall_estimator_performance.csv,manifest_sha256,b9265bebc0202d235d3adba7963451c94e09407351099a92c15b2f8cee613b29,b9265bebc0202d235d3adba7963451c94e09407351099a92c15b2f8cee613b29,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_02_overall_estimator_performance.tex,manifest_sha256,0dce07d211def371dd31870d37f69d0227a6635838c09bff6f0c07be6c69a0a6,0dce07d211def371dd31870d37f69d0227a6635838c09bff6f0c07be6c69a0a6,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_03_estimator_tradeoffs.csv,manifest_sha256,18d2f34886eb308b3af22d7127985d4f67918f43b80807866d4f486e6f542ec3,18d2f34886eb308b3af22d7127985d4f67918f43b80807866d4f486e6f542ec3,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_03_estimator_tradeoffs.tex,manifest_sha256,968fb38cc44002ec94945d2bbf881da63529f80fc0d170cd726bd60429fb7446,968fb38cc44002ec94945d2bbf881da63529f80fc0d170cd726bd60429fb7446,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_04_performance_by_quantile.csv,manifest_sha256,55fcd5a11436275c731732a93e1407805f94609d583e1646c410b9ecae65ed1e,55fcd5a11436275c731732a93e1407805f94609d583e1646c410b9ecae65ed1e,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_04_performance_by_quantile.tex,manifest_sha256,41b2bcbfbcdab125e969b7606b4ef1410a96dc65de24a8c59c403c4e4aa33c79,41b2bcbfbcdab125e969b7606b4ef1410a96dc65de24a8c59c403c4e4aa33c79,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_05_performance_by_instrument_strength.csv,manifest_sha256,e2f5b06afda1b20d4af19384eb12cfe1a413127c8d6ad918f1dcf270ca83c60e,e2f5b06afda1b20d4af19384eb12cfe1a413127c8d6ad918f1dcf270ca83c60e,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_05_performance_by_instrument_strength.tex,manifest_sha256,2b9bc25111576c77b25801d468f0278f8a36291a3ce22e09ff6c6eaaef700c7e,2b9bc25111576c77b25801d468f0278f8a36291a3ce22e09ff6c6eaaef700c7e,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_06_weakest_scenarios.csv,manifest_sha256,dd4adc5e2912055ed33ebe846fb420f99c244557c0d46c4d3e9dd8618c6c4c44,dd4adc5e2912055ed33ebe846fb420f99c244557c0d46c4d3e9dd8618c6c4c44,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_06_weakest_scenarios.tex,manifest_sha256,8aa48e798b1682e75733d5c00c36c282aa0fd6fd3ff9fb68d47d476628ee0781,8aa48e798b1682e75733d5c00c36c282aa0fd6fd3ff9fb68d47d476628ee0781,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_07_warning_exception_diagnostics.csv,manifest_sha256,252d09056f8fa3e327fccabfc14d909417cffe5abf3acf521a58d6401b0a4b04,252d09056f8fa3e327fccabfc14d909417cffe5abf3acf521a58d6401b0a4b04,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/tables/table_07_warning_exception_diagnostics.tex,manifest_sha256,c0c315a6b915f758c5c4a12131cd7c083be2e66a7bba36073d16040ee5ab8ba2,c0c315a6b915f758c5c4a12131cd7c083be2e66a7bba36073d16040ee5ab8ba2,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_01_overall_estimator_tradeoff.pdf,manifest_sha256,8d25ba31dd526c9c1090dff2edfd9591c078cd7e5721259cb6edceb2c32ecc22,8d25ba31dd526c9c1090dff2edfd9591c078cd7e5721259cb6edceb2c32ecc22,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_01_overall_estimator_tradeoff.png,manifest_sha256,8000d44dd349e6f002022bfe60a28709c9f0382f06aaccf69b8936c1879c521d,8000d44dd349e6f002022bfe60a28709c9f0382f06aaccf69b8936c1879c521d,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_02_coverage_by_quantile.pdf,manifest_sha256,43dc67202fedb2739b9dc8ba217935687e7052c7ad84662b9f128e7c72e5a2ed,43dc67202fedb2739b9dc8ba217935687e7052c7ad84662b9f128e7c72e5a2ed,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_02_coverage_by_quantile.png,manifest_sha256,170b6e8b0c0224803793d5c15327e0afed94878d6625c8f228b1375f282064d8,170b6e8b0c0224803793d5c15327e0afed94878d6625c8f228b1375f282064d8,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_03_coverage_by_instrument_strength.pdf,manifest_sha256,1531353e571960be63bc71563e52c77e2ea48f836fe333937969c82ad0a03111,1531353e571960be63bc71563e52c77e2ea48f836fe333937969c82ad0a03111,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_03_coverage_by_instrument_strength.png,manifest_sha256,795e8b754741969501254b5d4bae72fa96c2ee9448813f56afef19cb01ede6cc,795e8b754741969501254b5d4bae72fa96c2ee9448813f56afef19cb01ede6cc,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_04_rmse_by_instrument_strength.pdf,manifest_sha256,7e3f81c2538a486119e6b39e0d04133f184ee35e708ba40075fc5c37ef44805b,7e3f81c2538a486119e6b39e0d04133f184ee35e708ba40075fc5c37ef44805b,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_04_rmse_by_instrument_strength.png,manifest_sha256,449ffe2ba2da72d703d3c116d749b7d1a7b5eb95a5cb17a1231bc0beecb1c4b5,449ffe2ba2da72d703d3c116d749b7d1a7b5eb95a5cb17a1231bc0beecb1c4b5,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_05_cr_length_by_instrument_strength.pdf,manifest_sha256,e9ef8309a91582b0a4321188671aa94656cb2c59ac50e8f8354bb1514c2e45b1,e9ef8309a91582b0a4321188671aa94656cb2c59ac50e8f8354bb1514c2e45b1,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_05_cr_length_by_instrument_strength.png,manifest_sha256,9d85a5a1edb4463f5f1dfb735097084c3a6b0dce6c0441aa78f898c0aacc7b1d,9d85a5a1edb4463f5f1dfb735097084c3a6b0dce6c0441aa78f898c0aacc7b1d,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_06_paired_estimator_differences.pdf,manifest_sha256,2f7bde277e59f6c844cf5871740779550bcf51540ca2a0a003fe6d4052315e6e,2f7bde277e59f6c844cf5871740779550bcf51540ca2a0a003fe6d4052315e6e,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_06_paired_estimator_differences.png,manifest_sha256,4093f507615ce71f59665a5138f32fde1b3f39aeb8567603d2b03120ba728cd9,4093f507615ce71f59665a5138f32fde1b3f39aeb8567603d2b03120ba728cd9,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_07_weak_scenario_structure.pdf,manifest_sha256,4b6d83a8e6e4262dd194187072ec42a01b18554c64e31f117713ae6f53a9d17b,4b6d83a8e6e4262dd194187072ec42a01b18554c64e31f117713ae6f53a9d17b,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_07_weak_scenario_structure.png,manifest_sha256,53be6128b1b97b3b87d84777ec9d4e59686c859c1f91569f16a7325619693aad,53be6128b1b97b3b87d84777ec9d4e59686c859c1f91569f16a7325619693aad,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_08_warning_exception_diagnostics.pdf,manifest_sha256,8133b4958366996d70f640745c6f24bfed23dbe32cdcc9327687929577097ca7,8133b4958366996d70f640745c6f24bfed23dbe32cdcc9327687929577097ca7,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/figures/figure_08_warning_exception_diagnostics.png,manifest_sha256,8fd9c2e79dec95179ff2ccb513430354b9e088eb14cb21bb974e9211b0aa1ddc,8fd9c2e79dec95179ff2ccb513430354b9e088eb14cb21bb974e9211b0aa1ddc,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/thesis_findings.json,manifest_sha256,e3b719d78fcb5628e8663a38fdca39833b87d29f72e0eaddc9a4e7656b22f01b,e3b719d78fcb5628e8663a38fdca39833b87d29f72e0eaddc9a4e7656b22f01b,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/empirical_results_report.md,manifest_sha256,228dd227f4d2f334eed473bad5299622ac66a8ff15dbbaa032423d64676f347c,228dd227f4d2f334eed473bad5299622ac66a8ff15dbbaa032423d64676f347c,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/consistency_checks.csv,manifest_sha256,26f7c9accc3e5a1666c37093a864620e920d10ad213deb2ebcd5a7098a913bfe,26f7c9accc3e5a1666c37093a864620e920d10ad213deb2ebcd5a7098a913bfe,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/consistency_report.md,manifest_sha256,e52290f0d93ebbe385b2d4d65d52d4b91b4b92752324c387f1ea12b4d19c30ff,e52290f0d93ebbe385b2d4d65d52d4b91b4b92752324c387f1ea12b4d19c30ff,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/thesis_output_manifest.json,self_referential_manifest,not_recorded_by_design,a23517223326c68af0c2f13c4f52ec3aa7116594647bcad796b2eef5345e7301,pass,Phase 3 manifest baseline
phase3,results/thesis/r500/consistency_checks.csv,all_190_consistency_checks,190,190,pass,established Phase 3 numerical checks
phase4,results/thesis/r500/review/delivery_readiness.json,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/delivery_readiness_report.md,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/artifact_inventory.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/table_review.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/figure_review.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/latex_compilation.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/terminology_checks.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/reproduction_checks.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/repository_hygiene.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/archive_recommendations.csv,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/protected_integrity.json,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/caption_registry.json,present_and_committed,True,True,pass,Phase 4 output remains present in HEAD
phase4,results/thesis/r500/review/delivery_readiness.json,readiness_classification,ready_with_minor_corrections,ready_with_minor_corrections,pass,committed Phase 4 decision
